Name, team, opp, pos, snaps, fantasy_pts 
Kyle Rudolph , MIN, TEN, TE, 58, 6.50
Kyle Rudolph , MIN, GNB, TE, 56, 9.10
Kyle Rudolph , MIN, CAR, TE, 53, 13.00
Kyle Rudolph , MIN, NYG, TE, 72, 11.50
Kyle Rudolph , MIN, HOU, TE, 68, 1.50
Kyle Rudolph , MIN, PHI, TE, 72, 5.50
Kyle Rudolph , MIN, CHI, TE, 57, 3.10
Kyle Rudolph , MIN, DET, TE, 65, 6.10
Kyle Rudolph , MIN, WAS, TE, 57, 12.90
Kyle Rudolph , MIN, ARI, TE, 55, 1.20
Kyle Rudolph , MIN, DET, TE, 51, 6.40
Kyle Rudolph , MIN, DAL, TE, 63, 4.50
Kyle Rudolph , MIN, JAX, TE, 64, 12.00
Kyle Rudolph , MIN, IND, TE, 56, 9.70
Kyle Rudolph , MIN, GNB, TE, 75, 5.30
Kyle Rudolph , MIN, CHI, TE, 48, 17.70
