Name, team, opp, pos, snaps, fantasy_pts 
Lance Dunbar, DAL, NYG, RB, 17, 1.60
Lance Dunbar, DAL, WAS, RB, 9, 3.20
Lance Dunbar, DAL, CHI, RB, 6, 6.10
Lance Dunbar, DAL, SFO, RB, 17, 1.60
Lance Dunbar, DAL, CLE, RB, 6, 0
Lance Dunbar, DAL, PIT, RB, 8, 0
Lance Dunbar, DAL, BAL, RB, 15, 1.60
Lance Dunbar, DAL, WAS, RB, 5, 0.10
Lance Dunbar, DAL, MIN, RB, 5, 0
Lance Dunbar, DAL, NYG, RB, 19, 1.20
Lance Dunbar, DAL, TAM, RB, 5, 2.00
Lance Dunbar, DAL, DET, RB, 4, 0
Lance Dunbar, DAL, PHI, RB, 23, 3.90
