Name, team, opp, pos, snaps, fantasy_pts 
LeSean McCoy, BUF, BAL, RB, 42, 13.00
LeSean McCoy, BUF, NYJ, RB, 49, 9.00
LeSean McCoy, BUF, ARI, RB, 48, 23.60
LeSean McCoy, BUF, NWE, RB, 54, 16.80
LeSean McCoy, BUF, LAR, RB, 44, 15.80
LeSean McCoy, BUF, SFO, RB, 49, 32.20
LeSean McCoy, BUF, MIA, RB, 23, 1.10
LeSean McCoy, BUF, SEA, RB, 64, 12.00
LeSean McCoy, BUF, CIN, RB, 20, 10.50
LeSean McCoy, BUF, JAX, RB, 40, 27.40
LeSean McCoy, BUF, OAK, RB, 45, 19.10
LeSean McCoy, BUF, PIT, RB, 43, 16.80
LeSean McCoy, BUF, CLE, RB, 41, 28.90
LeSean McCoy, BUF, MIA, RB, 70, 20.50
LeSean McCoy, BUF, NYJ, RB, 14, 1.60
