Name, team, opp, pos, snaps, fantasy_pts 
Malcolm Mitchell, NWE, ARI, WR, 39, 3.30
Malcolm Mitchell, NWE, MIA, WR, 31, 1.50
Malcolm Mitchell, NWE, HOU, WR, 16, 2.70
Malcolm Mitchell, NWE, BUF, WR, 20, 0
Malcolm Mitchell, NWE, CLE, RB, 25, 0.70
Malcolm Mitchell, NWE, CIN, WR, 11, 0
Malcolm Mitchell, NWE, PIT, WR, 30, 0
Malcolm Mitchell, NWE, SEA, WR, 20, 1.30
Malcolm Mitchell, NWE, SFO, WR, 66, 15.80
Malcolm Mitchell, NWE, NYJ, WR, 34, 16.20
Malcolm Mitchell, NWE, LAR, WR, 67, 8.20
Malcolm Mitchell, NWE, BAL, WR, 54, 10.10
Malcolm Mitchell, NWE, DEN, WR, 67, 1.40
Malcolm Mitchell, NWE, NYJ, WR, 58, 2.90
