Name, team, opp, pos, snaps, fantasy_pts 
Marcus Mariota, TEN, MIN, QB, 66, 16.74
Marcus Mariota, TEN, DET, QB, 66, 16.62
Marcus Mariota, TEN, OAK, QB, 68, 4.76
Marcus Mariota, TEN, HOU, QB, 67, 8.08
Marcus Mariota, TEN, MIA, QB, 74, 30.52
Marcus Mariota, TEN, CLE, QB, 62, 27.76
Marcus Mariota, TEN, IND, QB, 73, 16.68
Marcus Mariota, TEN, JAX, QB, 60, 19.90
Marcus Mariota, TEN, SDG, QB, 65, 25.92
Marcus Mariota, TEN, GNB, QB, 60, 27.80
Marcus Mariota, TEN, IND, QB, 71, 22.50
Marcus Mariota, TEN, CHI, QB, 58, 21.64
Marcus Mariota, TEN, DEN, QB, 67, 7.32
Marcus Mariota, TEN, KAN, QB, 66, 5.44
Marcus Mariota, TEN, JAX, QB, 41, 8.26
