Name, team, opp, pos, snaps, fantasy_pts 
Mark Ingram, NOR, OAK, RB, 29, 8.70
Mark Ingram, NOR, NYG, RB, 36, 4.70
Mark Ingram, NOR, ATL, RB, 40, 18.70
Mark Ingram, NOR, SDG, RB, 48, 16.50
Mark Ingram, NOR, CAR, RB, 39, 6.00
Mark Ingram, NOR, KAN, RB, 38, 12.20
Mark Ingram, NOR, SEA, RB, 6, -1.50
Mark Ingram, NOR, SFO, RB, 33, 29.10
Mark Ingram, NOR, DEN, RB, 22, 6.30
Mark Ingram, NOR, CAR, RB, 26, 7.50
Mark Ingram, NOR, LAR, RB, 42, 28.70
Mark Ingram, NOR, DET, RB, 21, 5.30
Mark Ingram, NOR, TAM, RB, 18, 2.30
Mark Ingram, NOR, ARI, RB, 41, 9.20
Mark Ingram, NOR, TAM, RB, 48, 23.30
Mark Ingram, NOR, ATL, RB, 45, 19.20
