Name, team, opp, pos, snaps, fantasy_pts 
Marqise Lee , JAX, GNB, WR, 36, 2.20
Marqise Lee , JAX, SDG, WR, 42, 7.50
Marqise Lee , JAX, BAL, WR, 42, 4.40
Marqise Lee , JAX, IND, WR, 51, 2.80
Marqise Lee , JAX, CHI, WR, 44, 6.10
Marqise Lee , JAX, OAK, WR, 48, 10.70
Marqise Lee , JAX, TEN, WR, 58, 0.10
Marqise Lee , JAX, KAN, WR, 62, 9.50
Marqise Lee , JAX, HOU, WR, 54, 5.60
Marqise Lee , JAX, DET, WR, 44, 11.80
Marqise Lee , JAX, BUF, WR, 51, 9.90
Marqise Lee , JAX, DEN, WR, 80, 4.40
Marqise Lee , JAX, MIN, WR, 48, 11.30
Marqise Lee , JAX, HOU, WR, 50, 0
Marqise Lee , JAX, TEN, WR, 61, 14.50
Marqise Lee , JAX, IND, WR, 47, 8.60
