Name, team, opp, pos, snaps, fantasy_pts 
Matt Asiata, MIN, TEN, RB, 9, 1.30
Matt Asiata, MIN, GNB, RB, 12, 2.50
Matt Asiata, MIN, CAR, RB, 19, 1.90
Matt Asiata, MIN, NYG, RB, 29, 7.80
Matt Asiata, MIN, HOU, RB, 34, 16.10
Matt Asiata, MIN, PHI, HB, 57, 8.00
Matt Asiata, MIN, CHI, RB, 43, 7.80
Matt Asiata, MIN, DET, RB, 28, 4.10
Matt Asiata, MIN, WAS, RB, 23, 7.50
Matt Asiata, MIN, ARI, RB, 21, 8.70
Matt Asiata, MIN, DET, RB, 23, 10.10
Matt Asiata, MIN, DAL, HB, 21, 2.70
Matt Asiata, MIN, JAX, RB, 26, 9.10
Matt Asiata, MIN, IND, RB, 12, 2.00
Matt Asiata, MIN, GNB, RB, 25, 6.40
Matt Asiata, MIN, CHI, RB, 25, 4.50
