Name, team, opp, pos, snaps, fantasy_pts 
Matthew Stafford, DET, IND, QB, 65, 26.10
Matthew Stafford, DET, TEN, QB, 79, 15.50
Matthew Stafford, DET, GNB, QB, 68, 26.50
Matthew Stafford, DET, CHI, QB, 63, 8.22
Matthew Stafford, DET, PHI, QB, 61, 18.80
Matthew Stafford, DET, LAR, QB, 62, 28.20
Matthew Stafford, DET, WAS, QB, 53, 17.84
Matthew Stafford, DET, HOU, QB, 61, 13.60
Matthew Stafford, DET, MIN, QB, 66, 14.76
Matthew Stafford, DET, JAX, QB, 57, 11.12
Matthew Stafford, DET, MIN, QB, 61, 16.28
Matthew Stafford, DET, NOR, QB, 70, 23.84
Matthew Stafford, DET, CHI, QB, 72, 16.42
Matthew Stafford, DET, NYG, QB, 62, 10.22
Matthew Stafford, DET, DAL, QB, 71, 12.50
Matthew Stafford, DET, GNB, QB, 66, 19.88
