Name, team, opp, pos, snaps, fantasy_pts 
Michael Floyd , ARI, NWE, WR, 58, 6.10
Michael Floyd , ARI, TAM, WR, 53, 6.80
Michael Floyd , ARI, BUF, WR, 74, 6.50
Michael Floyd , ARI, LAR, WR, 35, 9.60
Michael Floyd , ARI, SFO, WR, 23, 0
Michael Floyd , ARI, NYJ, WR, 37, 8.20
Michael Floyd , ARI, SEA, WR, 77, 6.50
Michael Floyd , ARI, CAR, WR, 29, 0
Michael Floyd , ARI, SFO, WR, 59, 10.10
Michael Floyd , ARI, MIN, WR, 53, 2.10
Michael Floyd , ARI, ATL, WR, 42, 3.10
Michael Floyd , ARI, WAS, WR, 70, 7.80
Michael Floyd , ARI, MIA, WR, 69, 1.80
Michael Floyd , NWE, NYJ, WR, 17, 0.60
Michael Floyd , NWE, MIA, WR, 49, 9.60
