Name, team, opp, pos, snaps, fantasy_pts 
Mike Wallace, BAL, BUF, WR, 44, 16.20
Mike Wallace, BAL, CLE, WR, 53, 16.10
Mike Wallace, BAL, JAX, WR, 50, 3.90
Mike Wallace, BAL, OAK, WR, 74, 6.70
Mike Wallace, BAL, WAS, WR, 61, 6.30
Mike Wallace, BAL, NYG, WR, 71, 9.70
Mike Wallace, BAL, NYJ, WR, 54, 12.00
Mike Wallace, BAL, PIT, WR, 35, 18.40
Mike Wallace, BAL, CLE, WR, 59, 5.90
Mike Wallace, BAL, DAL, WR, 47, 7.50
Mike Wallace, BAL, CIN, WR, 56, 5.60
Mike Wallace, BAL, MIA, WR, 58, 5.90
Mike Wallace, BAL, NWE, WR, 52, 5.20
Mike Wallace, BAL, PHI, WR, 52, 6.00
Mike Wallace, BAL, PIT, WR, 63, 2.10
Mike Wallace, BAL, CIN, WR, 44, 3.30
