Name, team, opp, pos, snaps, fantasy_pts 
Odell Beckham Jr., NYG, DAL, WR, 56, 7.30
Odell Beckham Jr., NYG, NOR, WR, 78, 8.60
Odell Beckham Jr., NYG, WAS, WR, 67, 12.10
Odell Beckham Jr., NYG, MIN, WR, 66, 2.30
Odell Beckham Jr., NYG, GNB, WR, 56, 11.60
Odell Beckham Jr., NYG, BAL, WR, 55, 32.20
Odell Beckham Jr., NYG, LAR, WR, 54, 4.90
Odell Beckham Jr., NYG, PHI, WR, 62, 16.60
Odell Beckham Jr., NYG, CIN, WR, 75, 15.70
Odell Beckham Jr., NYG, CHI, WR, 67, 4.60
Odell Beckham Jr., NYG, CLE, WR, 44, 21.60
Odell Beckham Jr., NYG, PIT, WR, 59, 10.00
Odell Beckham Jr., NYG, DAL, WR, 67, 15.40
Odell Beckham Jr., NYG, DET, WR, 60, 13.30
Odell Beckham Jr., NYG, PHI, WR, 88, 15.00
Odell Beckham Jr., NYG, WAS, WR, 48, 4.40
