Name, team, opp, pos, snaps, fantasy_pts 
Paul Perkins , NYG, WAS, RB, 0, 0
Paul Perkins , NYG, MIN, RB, 15, 8.00
Paul Perkins , NYG, GNB, RB, 14, 2.20
Paul Perkins , NYG, BAL, RB, 7, 2.60
Paul Perkins , NYG, LAR, RB, 16, 1.60
Paul Perkins , NYG, PHI, RB, 22, 4.70
Paul Perkins , NYG, CIN, RB, 30, 3.10
Paul Perkins , NYG, CHI, RB, 20, 3.50
Paul Perkins , NYG, CLE, RB, 22, 4.30
Paul Perkins , NYG, PIT, RB, 23, 3.80
Paul Perkins , NYG, DAL, RB, 25, 4.50
Paul Perkins , NYG, DET, RB, 25, 5.60
Paul Perkins , NYG, PHI, RB, 34, 7.70
Paul Perkins , NYG, WAS, RB, 37, 10.20
