Name, team, opp, pos, snaps, fantasy_pts 
Philip Rivers, SDG, KAN, QB, 73, 14.62
Philip Rivers, SDG, JAX, QB, 63, 23.80
Philip Rivers, SDG, IND, QB, 59, 11.24
Philip Rivers, SDG, NOR, QB, 70, 18.84
Philip Rivers, SDG, OAK, QB, 51, 26.36
Philip Rivers, SDG, DEN, QB, 66, 11.12
Philip Rivers, SDG, ATL, QB, 75, 14.64
Philip Rivers, SDG, DEN, QB, 81, 12.68
Philip Rivers, SDG, TEN, QB, 80, 18.70
Philip Rivers, SDG, MIA, QB, 77, 17.04
Philip Rivers, SDG, HOU, QB, 56, 19.68
Philip Rivers, SDG, TAM, QB, 55, 14.80
Philip Rivers, SDG, CAR, QB, 65, 7.44
Philip Rivers, SDG, OAK, QB, 55, 14.24
Philip Rivers, SDG, CLE, QB, 68, 18.88
Philip Rivers, SDG, KAN, QB, 66, 14.86
