Name, team, opp, pos, snaps, fantasy_pts 
Pierre Garcon, WAS, PIT, WR, 40, 5.10
Pierre Garcon, WAS, DAL, WR, 46, 2.50
Pierre Garcon, WAS, NYG, WR, 55, 5.90
Pierre Garcon, WAS, CLE, WR, 44, 3.90
Pierre Garcon, WAS, BAL, WR, 50, 11.60
Pierre Garcon, WAS, PHI, WR, 60, 7.70
Pierre Garcon, WAS, DET, WR, 57, 2.20
Pierre Garcon, WAS, CIN, WR, 78, 6.70
Pierre Garcon, WAS, MIN, WR, 51, 8.10
Pierre Garcon, WAS, GNB, WR, 50, 17.60
Pierre Garcon, WAS, DAL, WR, 52, 4.30
Pierre Garcon, WAS, ARI, WR, 48, 7.80
Pierre Garcon, WAS, PHI, WR, 42, 11.90
Pierre Garcon, WAS, CAR, WR, 45, 7.80
Pierre Garcon, WAS, CHI, WR, 44, 9.40
Pierre Garcon, WAS, NYG, WR, 45, 9.60
