Name, team, opp, pos, snaps, fantasy_pts 
Rex Burkhead, CIN, NYJ, HB, 0, 0
Rex Burkhead, CIN, PIT, HB, 0, 0
Rex Burkhead, CIN, DEN, HB, 0, 0
Rex Burkhead, CIN, MIA, HB, 0, 0
Rex Burkhead, CIN, DAL, HB, 2, 0
Rex Burkhead, CIN, NWE, HB, 3, 1.60
Rex Burkhead, CIN, CLE, HB, 7, 3.30
Rex Burkhead, CIN, WAS, HB, 1, 0
Rex Burkhead, CIN, NYG, HB, 0, 0
Rex Burkhead, CIN, BUF, HB, 4, 1.40
Rex Burkhead, CIN, BAL, HB, 38, 4.80
Rex Burkhead, CIN, PHI, HB, 27, 4.60
Rex Burkhead, CIN, CLE, HB, 30, 5.10
Rex Burkhead, CIN, PIT, HB, 21, 5.00
Rex Burkhead, CIN, HOU, HB, 49, 6.70
Rex Burkhead, CIN, BAL, HB, 56, 26.40
