Name, team, opp, pos, snaps, fantasy_pts 
Rishard Matthews, TEN, MIN, WR, 35, 2.60
Rishard Matthews, TEN, DET, WR, 36, 4.00
Rishard Matthews, TEN, OAK, WR, 43, 3.20
Rishard Matthews, TEN, HOU, WR, 25, 8.20
Rishard Matthews, TEN, MIA, WR, 41, 9.20
Rishard Matthews, TEN, CLE, WR, 25, 13.00
Rishard Matthews, TEN, IND, WR, 49, 3.70
Rishard Matthews, TEN, JAX, WR, 59, 9.80
Rishard Matthews, TEN, SDG, WR, 58, 18.30
Rishard Matthews, TEN, GNB, WR, 49, 12.30
Rishard Matthews, TEN, IND, WR, 66, 12.20
Rishard Matthews, TEN, CHI, WR, 51, 12.40
Rishard Matthews, TEN, DEN, WR, 62, 2.60
Rishard Matthews, TEN, KAN, WR, 63, 8.50
Rishard Matthews, TEN, JAX, WR, 67, 9.10
Rishard Matthews, TEN, HOU, WR, 53, 17.40
