Name, team, opp, pos, snaps, fantasy_pts 
Robert Woods, BUF, BAL, WR, 41, 2.00
Robert Woods, BUF, NYJ, WR, 46, 1.00
Robert Woods, BUF, ARI, WR, 61, 5.10
Robert Woods, BUF, NWE, WR, 69, 8.90
Robert Woods, BUF, LAR, WR, 48, 2.60
Robert Woods, BUF, SFO, WR, 54, 11.00
Robert Woods, BUF, NWE, WR, 46, 5.00
Robert Woods, BUF, SEA, WR, 67, 16.20
Robert Woods, BUF, CIN, WR, 10, 4.10
Robert Woods, BUF, PIT, WR, 27, 2.90
Robert Woods, BUF, CLE, WR, 30, 0.50
Robert Woods, BUF, MIA, WR, 79, 4.30
Robert Woods, BUF, NYJ, WR, 56, 4.30
