Name, team, opp, pos, snaps, fantasy_pts 
Russell Shepard, TAM, ATL, WR, 6, 0.90
Russell Shepard, TAM, ARI, WR, 14, 1.60
Russell Shepard, TAM, LAR, WR, 11, 0.60
Russell Shepard, TAM, DEN, WR, 8, 0
Russell Shepard, TAM, CAR, WR, 14, 0
Russell Shepard, TAM, SFO, WR, 27, 13.70
Russell Shepard, TAM, OAK, WR, 26, 8.40
Russell Shepard, TAM, KAN, WR, 34, 5.40
Russell Shepard, TAM, SEA, WR, 32, 2.30
Russell Shepard, TAM, SDG, WR, 50, 1.50
Russell Shepard, TAM, NOR, WR, 44, 1.70
Russell Shepard, TAM, DAL, WR, 56, 1.90
Russell Shepard, TAM, NOR, WR, 52, 6.10
Russell Shepard, TAM, CAR, WR, 58, 2.90
