Name, team, opp, pos, snaps, fantasy_pts 
Ryan Fitzpatrick, NYJ, CIN, QB, 71, 15.06
Ryan Fitzpatrick, NYJ, BUF, QB, 74, 21.06
Ryan Fitzpatrick, NYJ, KAN, QB, 68, -2.28
Ryan Fitzpatrick, NYJ, SEA, QB, 71, 8.94
Ryan Fitzpatrick, NYJ, PIT, QB, 58, 15.10
Ryan Fitzpatrick, NYJ, ARI, QB, 45, 5.16
Ryan Fitzpatrick, NYJ, BAL, QB, 44, 8.70
Ryan Fitzpatrick, NYJ, CLE, QB, 72, 14.42
Ryan Fitzpatrick, NYJ, MIA, QB, 54, 10.36
Ryan Fitzpatrick, NYJ, NWE, QB, 57, 16.86
Ryan Fitzpatrick, NYJ, IND, QB, 25, 1.54
Ryan Fitzpatrick, NYJ, MIA, QB, 18, 0.34
Ryan Fitzpatrick, NYJ, NWE, QB, 44, 1.74
Ryan Fitzpatrick, NYJ, BUF, QB, 62, 16.40
