Name, team, opp, pos, snaps, fantasy_pts 
Ryan Tannehill, MIA, SEA, QB, 54, 15.14
Ryan Tannehill, MIA, NWE, QB, 64, 22.98
Ryan Tannehill, MIA, CLE, QB, 67, 18.96
Ryan Tannehill, MIA, CIN, QB, 45, 7.56
Ryan Tannehill, MIA, TEN, QB, 44, 3.64
Ryan Tannehill, MIA, PIT, QB, 70, 10.38
Ryan Tannehill, MIA, BUF, QB, 73, 16.26
Ryan Tannehill, MIA, NYJ, QB, 63, 9.66
Ryan Tannehill, MIA, SDG, QB, 51, 19.20
Ryan Tannehill, MIA, LAR, QB, 60, 14.78
Ryan Tannehill, MIA, SFO, QB, 59, 26.80
Ryan Tannehill, MIA, BAL, QB, 62, 7.04
Ryan Tannehill, MIA, ARI, QB, 46, 17.80
