Name, team, opp, pos, snaps, fantasy_pts 
Sammie Coates, PIT, WAS, WR, 44, 5.60
Sammie Coates, PIT, CIN, WR, 35, 10.30
Sammie Coates, PIT, PHI, WR, 40, 5.00
Sammie Coates, PIT, KAN, WR, 33, 7.80
Sammie Coates, PIT, NYJ, WR, 44, 25.90
Sammie Coates, PIT, MIA, WR, 17, 0
Sammie Coates, PIT, NWE, WR, 7, 0.40
Sammie Coates, PIT, BAL, WR, 45, 0
Sammie Coates, PIT, DAL, WR, 2, 0
Sammie Coates, PIT, CLE, WR, 1, 0
Sammie Coates, PIT, IND, WR, 10, 0
Sammie Coates, PIT, NYG, WR, 4, 0
Sammie Coates, PIT, BUF, WR, 1, 0
Sammie Coates, PIT, CIN, WR, 30, 1.90
