Name, team, opp, pos, snaps, fantasy_pts 
Seth Roberts , OAK, NOR, WR, 60, 7.90
Seth Roberts , OAK, ATL, WR, 51, 2.50
Seth Roberts , OAK, TEN, WR, 40, 8.70
Seth Roberts , OAK, BAL, WR, 41, 7.20
Seth Roberts , OAK, SDG, WR, 51, 2.20
Seth Roberts , OAK, KAN, WR, 48, 2.90
Seth Roberts , OAK, JAX, WR, 47, 4.20
Seth Roberts , OAK, TAM, WR, 63, 12.90
Seth Roberts , OAK, DEN, WR, 29, 3.20
Seth Roberts , OAK, HOU, WR, 22, 0.60
Seth Roberts , OAK, CAR, WR, 55, 11.10
Seth Roberts , OAK, BUF, WR, 55, 3.80
Seth Roberts , OAK, KAN, WR, 71, 1.20
Seth Roberts , OAK, SDG, WR, 33, 2.70
Seth Roberts , OAK, IND, WR, 51, 0
Seth Roberts , OAK, DEN, WR, 32, 2.60
