Name, team, opp, pos, snaps, fantasy_pts 
Shaun Draughn, SFO, LAR, RB, 21, 7.60
Shaun Draughn, SFO, CAR, RB, 22, 2.10
Shaun Draughn, SFO, SEA, RB, 17, 1.20
Shaun Draughn, SFO, DAL, RB, 17, 0.80
Shaun Draughn, SFO, ARI, RB, 9, 0
Shaun Draughn, SFO, BUF, RB, 5, 0.20
Shaun Draughn, SFO, TAM, RB, 23, 11.30
Shaun Draughn, SFO, NOR, RB, 0, 0
Shaun Draughn, SFO, ARI, RB, 0, 0
Shaun Draughn, SFO, NWE, RB, 9, 10.30
Shaun Draughn, SFO, MIA, RB, 24, 4.90
Shaun Draughn, SFO, CHI, RB, 25, 2.00
Shaun Draughn, SFO, NYJ, RB, 27, 8.70
Shaun Draughn, SFO, ATL, RB, 21, 1.50
Shaun Draughn, SFO, LAR, RB, 42, 6.50
Shaun Draughn, SFO, SEA, RB, 52, 22.90
