Name, team, opp, pos, snaps, fantasy_pts 
Stefon Diggs, MIN, TEN, WR, 56, 10.20
Stefon Diggs, MIN, GNB, WR, 51, 24.20
Stefon Diggs, MIN, CAR, WR, 49, 4.00
Stefon Diggs, MIN, NYG, WR, 69, 4.60
Stefon Diggs, MIN, PHI, WR, 61, 1.80
Stefon Diggs, MIN, CHI, WR, 55, 13.60
Stefon Diggs, MIN, DET, WR, 57, 9.20
Stefon Diggs, MIN, WAS, WR, 51, 16.40
Stefon Diggs, MIN, ARI, WR, 43, 3.70
Stefon Diggs, MIN, DAL, WR, 58, 5.90
Stefon Diggs, MIN, JAX, WR, 38, 5.50
Stefon Diggs, MIN, IND, WR, 49, 1.30
Stefon Diggs, MIN, GNB, WR, 57, 8.90
