Name, team, opp, pos, snaps, fantasy_pts 
Tavon Austin, LAR, SFO, WR, 57, 1.50
Tavon Austin, LAR, SEA, WR, 45, 5.60
Tavon Austin, LAR, TAM, WR, 50, 16.40
Tavon Austin, LAR, ARI, WR, 47, 0.80
Tavon Austin, LAR, BUF, WR, 44, 8.50
Tavon Austin, LAR, DET, WR, 49, 2.60
Tavon Austin, LAR, NYG, WR, 62, 12.70
Tavon Austin, LAR, CAR, WR, 53, 1.80
Tavon Austin, LAR, NYJ, WR, 47, 2.90
Tavon Austin, LAR, MIA, WR, 51, 2.90
Tavon Austin, LAR, NOR, WR, 40, 11.50
Tavon Austin, LAR, ATL, WR, 48, 8.90
Tavon Austin, LAR, SEA, WR, 43, 2.70
Tavon Austin, LAR, SFO, WR, 48, 10.00
Tavon Austin, LAR, ARI, WR, 47, 0
