Name, team, opp, pos, snaps, fantasy_pts 
Terrance Williams, DAL, NYG, WR, 54, 3.40
Terrance Williams, DAL, WAS, WR, 44, 0
Terrance Williams, DAL, CHI, WR, 48, 6.80
Terrance Williams, DAL, SFO, WR, 62, 10.40
Terrance Williams, DAL, CIN, WR, 41, 7.00
Terrance Williams, DAL, GNB, WR, 43, 7.50
Terrance Williams, DAL, PHI, WR, 59, 2.50
Terrance Williams, DAL, CLE, WR, 44, 1.90
Terrance Williams, DAL, PIT, WR, 45, 0.50
Terrance Williams, DAL, BAL, WR, 43, 1.10
Terrance Williams, DAL, WAS, WR, 36, 7.00
Terrance Williams, DAL, MIN, WR, 38, 1.30
Terrance Williams, DAL, NYG, WR, 52, 13.60
Terrance Williams, DAL, TAM, WR, 50, 3.00
Terrance Williams, DAL, DET, WR, 39, 6.10
Terrance Williams, DAL, PHI, WR, 48, 9.30
