Name, team, opp, pos, snaps, fantasy_pts 
Terrelle Pryor, CLE, PHI, WR, 46, 6.80
Terrelle Pryor, CLE, BAL, WR, 56, 3.20
Terrelle Pryor, CLE, MIA, WR, 78, 23.90
Terrelle Pryor, CLE, WAS, WR, 67, 10.00
Terrelle Pryor, CLE, NWE, WR, 63, 5.30
Terrelle Pryor, CLE, TEN, WR, 64, 19.84
Terrelle Pryor, CLE, CIN, WR, 31, 1.80
Terrelle Pryor, CLE, NYJ, WR, 60, 12.10
Terrelle Pryor, CLE, DAL, WR, 41, 10.70
Terrelle Pryor, CLE, BAL, WR, 43, 4.80
Terrelle Pryor, CLE, PIT, WR, 58, 9.70
Terrelle Pryor, CLE, NYG, WR, 65, 13.10
Terrelle Pryor, CLE, CIN, WR, 49, 0.30
Terrelle Pryor, CLE, BUF, WR, 49, 1.90
Terrelle Pryor, CLE, SDG, WR, 66, 3.60
Terrelle Pryor, CLE, PIT, WR, 64, 9.40
