Name, team, opp, pos, snaps, fantasy_pts 
Travis Benjamin, SDG, KAN, WR, 55, 3.20
Travis Benjamin, SDG, JAX, WR, 44, 23.40
Travis Benjamin, SDG, IND, WR, 45, 6.20
Travis Benjamin, SDG, NOR, WR, 54, 2.80
Travis Benjamin, SDG, OAK, WR, 31, 11.70
Travis Benjamin, SDG, DEN, WR, 25, -0.30
Travis Benjamin, SDG, ATL, WR, 46, 5.40
Travis Benjamin, SDG, DEN, WR, 38, 10.40
Travis Benjamin, SDG, TEN, WR, 7, 0.50
Travis Benjamin, SDG, HOU, WR, 37, 0.80
Travis Benjamin, SDG, TAM, WR, 43, 2.40
Travis Benjamin, SDG, CAR, WR, 44, 0
Travis Benjamin, SDG, OAK, WR, 29, 11.60
Travis Benjamin, SDG, CLE, WR, 50, 7.50
