Name, team, opp, pos, snaps, fantasy_pts 
Trevor Siemian, DEN, CAR, QB, 58, 9.12
Trevor Siemian, DEN, IND, QB, 71, 11.34
Trevor Siemian, DEN, CIN, QB, 67, 28.98
Trevor Siemian, DEN, TAM, QB, 21, 6.72
Trevor Siemian, DEN, SDG, QB, 74, 13.30
Trevor Siemian, DEN, HOU, QB, 64, 10.18
Trevor Siemian, DEN, SDG, QB, 65, 6.84
Trevor Siemian, DEN, OAK, QB, 56, 15.32
Trevor Siemian, DEN, NOR, QB, 83, 14.82
Trevor Siemian, DEN, KAN, QB, 80, 29.02
Trevor Siemian, DEN, TEN, QB, 65, 17.36
Trevor Siemian, DEN, NWE, QB, 62, 9.68
Trevor Siemian, DEN, KAN, QB, 60, 5.32
Trevor Siemian, DEN, OAK, QB, 73, 13.74
