Name, team, opp, pos, snaps, fantasy_pts 
Tyler Boyd, CIN, NYJ, WR, 44, 2.40
Tyler Boyd, CIN, PIT, WR, 60, 5.80
Tyler Boyd, CIN, DEN, WR, 24, 1.80
Tyler Boyd, CIN, MIA, WR, 28, 1.00
Tyler Boyd, CIN, DAL, WR, 50, 3.30
Tyler Boyd, CIN, NWE, WR, 55, 7.90
Tyler Boyd, CIN, CLE, WR, 41, 0.30
Tyler Boyd, CIN, WAS, WR, 72, 4.10
Tyler Boyd, CIN, NYG, WR, 32, 1.20
Tyler Boyd, CIN, BUF, WR, 54, 11.40
Tyler Boyd, CIN, BAL, WR, 55, 6.20
Tyler Boyd, CIN, PHI, WR, 42, 6.60
Tyler Boyd, CIN, CLE, WR, 41, 8.90
Tyler Boyd, CIN, PIT, WR, 45, 1.30
Tyler Boyd, CIN, HOU, WR, 46, 2.50
Tyler Boyd, CIN, BAL, WR, 50, 5.40
