Name, team, opp, pos, snaps, fantasy_pts 
Tyler Lockett, SEA, MIA, WR, 62, 1.70
Tyler Lockett, SEA, LAR, WR, 27, 9.90
Tyler Lockett, SEA, SFO, WR, 23, 0
Tyler Lockett, SEA, NYJ, WR, 14, 1.30
Tyler Lockett, SEA, ATL, WR, 42, 2.50
Tyler Lockett, SEA, ARI, WR, 49, 1.30
Tyler Lockett, SEA, NOR, WR, 34, 3.20
Tyler Lockett, SEA, BUF, WR, 27, 3.00
Tyler Lockett, SEA, NWE, WR, 42, 7.20
Tyler Lockett, SEA, PHI, WR, 35, 3.90
Tyler Lockett, SEA, TAM, WR, 52, 0.90
Tyler Lockett, SEA, CAR, WR, 44, 19.80
Tyler Lockett, SEA, GNB, WR, 43, 5.60
Tyler Lockett, SEA, LAR, WR, 38, 19.00
Tyler Lockett, SEA, ARI, WR, 26, 3.80
