Name, team, opp, pos, snaps, fantasy_pts 
Tyreek Hill, KAN, SDG, WR, 10, 6.90
Tyreek Hill, KAN, HOU, WR, 7, 0.70
Tyreek Hill, KAN, NYJ, WR, 12, 2.30
Tyreek Hill, KAN, PIT, WR, 18, 8.20
Tyreek Hill, KAN, OAK, WR, 18, 2.00
Tyreek Hill, KAN, NOR, WR, 18, 12.10
Tyreek Hill, KAN, IND, WR, 21, 16.50
Tyreek Hill, KAN, JAX, WR, 34, 3.20
Tyreek Hill, KAN, CAR, WR, 39, 10.10
Tyreek Hill, KAN, TAM, WR, 36, 6.10
Tyreek Hill, KAN, DEN, WR, 57, 17.50
Tyreek Hill, KAN, ATL, WR, 25, 7.20
Tyreek Hill, KAN, OAK, WR, 25, 10.80
Tyreek Hill, KAN, TEN, WR, 30, 12.80
Tyreek Hill, KAN, DEN, WR, 28, 15.50
Tyreek Hill, KAN, SDG, WR, 38, 6.10
