Name, team, opp, pos, snaps, fantasy_pts 
Vernon Davis , WAS, PIT, TE, 19, 2.00
Vernon Davis , WAS, DAL, TE, 27, 5.10
Vernon Davis , WAS, NYG, TE, 35, 0
Vernon Davis , WAS, CLE, TE, 34, 0.80
Vernon Davis , WAS, BAL, TE, 33, 1.50
Vernon Davis , WAS, PHI, TE, 72, 11.00
Vernon Davis , WAS, DET, TE, 71, 7.90
Vernon Davis , WAS, CIN, TE, 39, 9.30
Vernon Davis , WAS, MIN, TE, 34, 12.60
Vernon Davis , WAS, GNB, WR, 37, 0
Vernon Davis , WAS, DAL, WR, 45, 6.80
Vernon Davis , WAS, ARI, TE, 59, 4.70
Vernon Davis , WAS, PHI, TE, 38, 0.10
Vernon Davis , WAS, CAR, TE, 44, 2.30
Vernon Davis , WAS, CHI, TE, 64, 1.30
Vernon Davis , WAS, NYG, TE, 21, 4.90
