Name, team, opp, pos, snaps, fantasy_pts 
Will Fuller, HOU, CHI, WR, 54, 16.70
Will Fuller, HOU, KAN, WR, 65, 10.40
Will Fuller, HOU, NWE, WR, 71, 3.10
Will Fuller, HOU, TEN, WR, 56, 14.10
Will Fuller, HOU, MIN, WR, 64, 0.40
Will Fuller, HOU, DEN, WC, 66, 2.20
Will Fuller, HOU, DET, WR, 47, 2.30
Will Fuller, HOU, OAK, WR, 41, 1.70
Will Fuller, HOU, SDG, WR, 53, 6.00
Will Fuller, HOU, GNB, WR, 52, 5.90
Will Fuller, HOU, IND, WR, 58, 2.20
Will Fuller, HOU, JAX, WR, 68, 3.90
Will Fuller, HOU, CIN, WR, 61, 3.90
Will Fuller, HOU, TEN, WR, 73, 2.40
