Name, team, opp, pos, snaps, fantasy_pts 
Will Tye, NYG, DAL, TE, 25, 1.60
Will Tye, NYG, NOR, TE, 41, 1.00
Will Tye, NYG, WAS, TE, 26, 1.40
Will Tye, NYG, MIN, TE, 52, 4.30
Will Tye, NYG, GNB, TE, 37, 3.70
Will Tye, NYG, BAL, TE, 23, 1.50
Will Tye, NYG, LAR, TE, 24, 1.40
Will Tye, NYG, PHI, TE, 46, 3.30
Will Tye, NYG, CIN, TE, 59, 5.30
Will Tye, NYG, CHI, TE, 52, 7.20
Will Tye, NYG, CLE, TE, 49, 1.20
Will Tye, NYG, PIT, TE, 47, 2.20
Will Tye, NYG, DAL, TE, 51, 1.90
Will Tye, NYG, DET, TE, 42, 2.50
Will Tye, NYG, PHI, TE, 60, 2.30
Will Tye, NYG, WAS, TE, 47, 4.70
