Name, team, opp, pos, snaps, fantasy_pts 
Xavier Grimble, PIT, WAS, TE, 16, 0
Xavier Grimble, PIT, CIN, TE, 17, 8.60
Xavier Grimble, PIT, PHI, TE, 6, 0
Xavier Grimble, PIT, KAN, TE, 20, 1.90
Xavier Grimble, PIT, NYJ, TE, 13, 1.30
Xavier Grimble, PIT, MIA, TE, 13, 1.10
Xavier Grimble, PIT, NWE, TE, 42, 1.40
Xavier Grimble, PIT, BAL, TE, 42, 1.00
Xavier Grimble, PIT, DAL, TE, 11, 0.50
Xavier Grimble, PIT, BUF, TE, 0, 0
Xavier Grimble, PIT, CIN, TE, 8, 0
Xavier Grimble, PIT, BAL, TE, 9, 8.00
Xavier Grimble, PIT, CLE, NA, 0, 0
