Name, team, opp, pos, snaps, fantasy_pts 
Zach Ertz, PHI, CLE, TE, 60, 5.80
Zach Ertz, PHI, DET, TE, 52, 3.70
Zach Ertz, PHI, WAS, TE, 46, 2.20
Zach Ertz, PHI, MIN, TE, 48, 1.40
Zach Ertz, PHI, DAL, TE, 61, 1.90
Zach Ertz, PHI, NYG, TE, 62, 9.70
Zach Ertz, PHI, ATL, TE, 59, 5.50
Zach Ertz, PHI, SEA, TE, 70, 9.50
Zach Ertz, PHI, GNB, TE, 55, 3.60
Zach Ertz, PHI, CIN, TE, 70, 13.90
Zach Ertz, PHI, WAS, TE, 67, 11.20
Zach Ertz, PHI, BAL, TE, 81, 8.00
Zach Ertz, PHI, NYG, TE, 48, 3.30
Zach Ertz, PHI, DAL, TE, 70, 25.90
